ay_g,ax_g,roll_deg,pitch_deg,ground_z_in,worst_order,worst_point,worst_min_z_in,worst_clearance_in,worst_clearance_mm,touches_ground,roll_then_pitch_clearance_in,pitch_then_roll_clearance_in
-0.25,-1.1,-0.1284444243246661,-0.785007662071161,-3.143600000000001,pitch_then_roll,floor_2,-1.7531487087470095,1.3904512912529916,35.31746279782598,False,1.390460985592136,1.3904512912529916
-0.25,-1.0499999999999998,-0.1284444243246661,-0.7493254956133808,-3.143600000000001,pitch_then_roll,floor_2,-1.7366109356568935,1.4069890643431076,35.73752223431493,False,1.4069978576050453,1.4069890643431076
-0.25,-1.0,-0.1284444243246661,-0.7136433291556009,-3.143600000000001,pitch_then_roll,floor_2,-1.720070217455231,1.4235297825447701,36.15765647663716,False,1.4235377185778635,1.4235297825447701
-0.25,-0.95,-0.1284444243246661,-0.6779611626978208,-3.143600000000001,pitch_then_roll,floor_2,-1.703526560557242,1.440073439442759,36.57786536184608,False,1.4400805620957033,1.440073439442759
-0.25,-0.8999999999999999,-0.1284444243246661,-0.6422789962400408,-3.143600000000001,pitch_then_roll,floor_2,-1.686979971379285,1.456620028620716,36.998148726966186,False,1.4566263817425202,1.456620028620716
-0.25,-0.8499999999999999,-0.1284444243246661,-0.6065968297822607,-3.143600000000001,pitch_then_roll,floor_2,-1.6704304563388592,1.4731695436611418,37.418506408993004,False,1.4731751711011176,1.4731695436611418
-0.25,-0.7999999999999998,-0.1284444243246661,-0.5709146633244806,-3.143600000000001,pitch_then_roll,floor_2,-1.6538780218545956,1.4897219781454054,37.83893824489329,False,1.4897269237531434,1.4897219781454054
-0.25,-0.75,-0.1284444243246661,-0.5352324968667007,-3.143600000000001,pitch_then_roll,floor_2,-1.6373226743462532,1.5062773256537478,38.259444071605195,False,1.5062816332791016,1.5062773256537478
-0.25,-0.7,-0.1284444243246661,-0.4995503304089206,-3.143600000000001,pitch_then_roll,floor_2,-1.6207644202347278,1.5228355797652733,38.68002372603794,False,1.522839293258345,1.5228355797652733
-0.25,-0.6499999999999999,-0.1284444243246661,-0.46386816395114056,-3.143600000000001,pitch_then_roll,floor_2,-1.604203265942044,1.539396734057957,39.10067704507211,False,1.5393998972690826,1.539396734057957
-0.25,-0.5999999999999999,-0.1284444243246661,-0.42818599749336045,-3.143600000000001,pitch_then_roll,floor_2,-1.5876392178913412,1.5559607821086598,39.52140386555996,False,1.5559634388883827,1.5559607821086598
-0.25,-0.5499999999999998,-0.1284444243246661,-0.3925038310355804,-3.143600000000001,pitch_then_roll,floor_2,-1.5710722825068903,1.5725277174931107,39.94220402432501,False,1.5725299116921754,1.5725277174931107
-0.25,-0.5,-0.1284444243246661,-0.35682166457780046,-3.143600000000001,pitch_then_roll,floor_2,-1.5545024662140787,1.5890975337859223,40.36307735816243,False,1.5890993092552508,1.5890975337859223
-0.25,-0.44999999999999996,-0.1284444243246661,-0.3211394981200204,-3.143600000000001,pitch_then_roll,floor_2,-1.5379297754394101,1.605670224560591,40.784023703839004,False,1.6056716251512677,1.605670224560591
-0.25,-0.3999999999999999,-0.1284444243246661,-0.2854573316622403,-3.143600000000001,pitch_then_roll,floor_2,-1.5213542166105065,1.6222457833894945,41.20504289809316,False,1.6222468529527498,1.6222457833894945
-0.25,-0.34999999999999987,-0.1284444243246661,-0.24977516520446022,-3.143600000000001,pitch_then_roll,floor_2,-1.5047757961560966,1.6388242038439045,41.62613477763517,False,1.6388249862310964,1.6388242038439045
