Fz,slipRatio,slipAngle_deg,Fx,Fy,ax_g,ay_g
200,-0.25,10.400000000000002,-4.116047138912288,18.718735633991855,-0.0013583102269498165,0.006177249479688943
200,-0.25,10.600000000000001,-4.083503534726237,18.796750891494394,-0.001347570721571022,0.0062029947927399074
200,-0.25,10.8,-4.050660968458285,18.874752693197003,-0.0013367325576395892,0.006228735665328933
200,-0.25,11.0,-4.017591105038774,18.952740794639514,-0.0013258193848379712,0.006254472016783293
200,-0.25,11.200000000000003,-3.984361826908642,19.030714951767912,-0.0013148536046136354,0.0062802037665642945
200,-0.25,11.400000000000002,-3.9510371122432866,19.108674920937307,-0.001303856329992505,0.006305930834268253
200,-0.25,11.600000000000001,-3.917676961087581,19.186620458914895,-0.0012928473612032502,0.006331653139627477
200,-0.25,11.8,-3.884337365271267,19.264551322882863,-0.0012818451757492615,0.006357370602511223
200,-0.25,12.000000000000002,-3.8510703176942966,19.3424672704414,-0.0012708669314728449,0.006383083142926689
200,-0.245,-12.000000000000002,-2.5617387062838164,10.101754196651134,-0.0008453829040544062,0.0033336148912693152
200,-0.245,-11.8,-2.5747818571978853,10.180786790868071,-0.0008496871903466451,0.0033596959290621937
200,-0.245,-11.6,-2.5880725177488726,10.259835328346067,-0.0008540731557012828,0.003385782228188049
200,-0.245,-11.4,-2.6016166337235593,10.338899536142428,-0.0008585427622491498,0.0034118736985748197
200,-0.245,-11.2,-2.615420286900725,10.41797914133855,-0.0008630980169989209,0.003437970250158394
200,-0.245,-11.0,-2.6294896950906135,10.497073871043606,-0.0008677409718501395,0.003464071792883825
200,-0.245,-10.8,-2.6438312117294176,10.576183452398213,-0.000872473723459395,0.0034901782367065455
200,-0.245,-10.600000000000001,-2.658451324969514,10.655307612578126,-0.0008772984129400978,0.0035162894915935806
200,-0.245,-10.4,-2.6733566562000775,10.734446078797887,-0.0008822172253742769,0.003542405467524758
200,-0.245,-10.2,-2.6885539579260036,10.813598578314531,-0.0008872323891126161,0.0035685260744939265
200,-0.245,-10.0,-2.704050110925821,10.892764838431242,-0.0008923461748365554,0.0035946512225101647
200,-0.245,-9.8,-2.7198521206013986,10.971944586501047,-0.0008975608943536815,0.0036207808215990003
200,-0.245,-9.6,-2.7359671124237237,11.05113754993048,-0.000902878899094818,0.0036469147818036173
200,-0.245,-9.4,-2.7524023263698054,11.130343456183267,-0.0009083025782781838,0.003673053013186074
200,-0.245,-9.200000000000001,-2.7691651102358255,11.209562032783994,-0.0009138343567027092,0.003699195425828513
200,-0.245,-9.0,-2.7862629117009297,11.288793007321795,-0.0009194766921290586,0.0037253419298343767
200,-0.245,-8.8,-2.8037032690046435,11.368036107454024,-0.0009252320722031443,0.0037514924353296225
200,-0.245,-8.6,-2.8214938000885668,11.44729106090992,-0.0009311030108728476,0.0037776468524639275
200,-0.245,-8.4,-2.839642190039983,11.526557595494289,-0.0009370920442443643,0.003803805091411908
200,-0.245,-8.2,-2.8581561766611494,11.605835439091186,-0.00094320172582002,0.0038299670623743324
200,-0.245,-8.0,-2.877043533973345,11.685124319667562,-0.000949434621054546,0.0038561326755793246
200,-0.245,-7.8,-2.896312053449444,11.764423965276958,-0.0009557933011617624,0.0038823018412835844
200,-0.245,-7.6,-2.9159695227526323,11.843734104063167,-0.000962280336098279,0.003908474469773594
200,-0.245,-7.3999999999999995,-2.9360237017422546,11.923054464263892,-0.0009688982866453382,0.003934650471366826
200,-0.245,-7.199999999999999,-2.956482295490615,12.002384774214425,-0.0009756496955042642,0.00396082975641296
200,-0.245,-7.0,-2.977352924037082,12.081724762351307,-0.0009825370773152093,0.003987012235295085
200,-0.245,-6.8,-2.998643088588259,12.161074157215989,-0.0009895629075030894,0.004013197818430914
200,-0.245,-6.6,-3.0203601338555592,12.240432687458489,-0.0009967296098488507,0.004039386416273984
200,-0.245,-6.3999999999999995,-3.04251120620455,12.319800081841057,-0.0010040395426786021,0.004065577939314872
200,-0.245,-6.199999999999999,-3.065103207274387,12.399176069241827,-0.0010114949835578653,0.004091772298082395
200,-0.245,-6.000000000000001,-3.0881427427109034,12.478560378658472,-0.00101909811237331,0.00411796940314482
200,-0.245,-5.8,-3.1116360656442343,12.557952739211856,-0.0010268509926801693,0.004144169165111065
200,-0.245,-5.6,-3.135589014531737,12.637352880149683,-0.0010347555511901817,0.004170371494631909
200,-0.245,-5.3999999999999995,-3.1600069449803643,12.71676053085013,-0.0010428135552727309,0.004196576302401186
200,-0.245,-5.199999999999999,-3.184894655160505,12.796175420825517,-0.0010510265883411473,0.004222783499156995
200,-0.245,-5.0,-3.210256304426703,12.875597279725916,-0.0010593960229972567,0.004248992995682899
200,-0.245,-4.8,-3.2360953247708637,12.955025837342815,-0.0010679229918106198,0.004275204702809125
200,-0.245,-4.6000000000000005,-3.262414324752041,13.034460823612728,-0.0010766083556150226,0.004301418531413758
200,-0.245,-4.3999999999999995,-3.2892149855752666,13.113901968620848,-0.0010854526692141184,0.004327634392423953
200,-0.245,-4.199999999999999,-3.316497949031827,13.193349002604652,-0.0010944561444013188,0.004353852196817113
200,-0.245,-4.0,-3.3442626970670406,13.27280165595754,-0.0011036186102167324,0.004380071855622101
200,-0.245,-3.799999999999999,-3.3725074228108305,13.35225965923245,-0.0011129394703867938,0.004406293279920426
200,-0.245,-3.5999999999999996,-3.401228892993572,13.43172274314547,-0.001122417657921002,0.004432516380847435
200,-0.245,-3.4000000000000004,-3.430422301777104,13.511190638579448,-0.0011320515868756343,0.004458741069593511
200,-0.245,-3.1999999999999993,-3.460081116160608,13.590663076587614,-0.0011418391013371344,0.004484967257405261
200,-0.245,-3.0000000000000004,-3.49019691327573,13.670139788397167,-0.0011517774217289231,0.004511194855586701
