Current,Charge,Voltage
10.0,0.35767062,3.79239119
10.0,0.39892378,3.78378355
10.0,0.44017695,3.77285847
10.0,0.48143011,3.76193339
10.0,0.52268328,3.74835980
10.0,0.56393644,3.73445516
10.0,0.60518960,3.71690881
10.0,0.64644277,3.70101779
10.0,0.68769593,3.68711314
10.0,0.72894910,3.67089105
10.0,0.77020226,3.66095916
10.0,0.81145542,3.64473707
10.0,0.85270859,3.63414305
10.0,0.89396175,3.62090053
10.0,0.93521492,3.60865120
10.0,0.97646808,3.59408443
10.0,1.01772124,3.57885553
10.0,1.05897441,3.56726832
10.0,1.10022757,3.55137729
10.0,1.14148074,3.53879690
10.0,1.18273390,3.52191268
10.0,1.22398706,3.50569059
10.0,1.26524023,3.49013063
10.0,1.30649339,3.47324642
10.0,1.34774656,3.45503795
