Fz,sr,sa_deg,Fx,Fy
200,-0.24,1.6000000000000014,-4.246158238821084,15.732145495745112
200,-0.24,1.8000000000000007,-4.277812076226118,15.812842263721107
200,-0.24,2.0,-4.3086493500288405,15.89353661732953
200,-0.24,2.200000000000001,-4.338569522803376,15.974228289607268
200,-0.24,2.4000000000000004,-4.367470829615061,16.054917013864504
200,-0.24,2.6000000000000014,-4.395250996203269,16.135602523688235
200,-0.24,2.8000000000000007,-4.42180801179161,16.216284552945737
200,-0.24,3.0,-4.4470409474559025,16.296962835788037
200,-0.24,3.200000000000001,-4.470850809386246,16.377637106653392
200,-0.24,3.4000000000000004,-4.493141415010001,16.45830710027074
200,-0.24,3.6000000000000014,-4.513820278858585,16.538972551663157
200,-0.24,3.8000000000000007,-4.532799494310216,16.61963319615129
200,-0.24,4.0,-4.549996596953868,16.70028876935681
200,-0.24,4.199999999999999,-4.565335395308251,16.78093900720581
200,-0.24,4.400000000000002,-4.578746754986176,16.861583645932253
200,-0.24,4.600000000000001,-4.590169323093923,16.942222422081358
200,-0.24,4.800000000000001,-4.599550180657768,17.02285507251302
200,-0.24,5.0,-4.606845412126877,17.10348133440518
200,-0.24,5.199999999999999,-4.612020582460237,17.184100945257228
200,-0.24,5.400000000000002,-4.61505111391366,17.26471364289336
200,-0.24,5.600000000000001,-4.615922556354971,17.345319165465952
200,-0.24,5.800000000000001,-4.614630746713837,17.425917251458912
200,-0.24,6.0,-4.6111818549894545,17.506507639691037
200,-0.24,6.199999999999999,-4.605592316074705,17.587090069319324
200,-0.24,6.400000000000002,-4.597888648495716,17.667664279842317
200,-0.24,6.600000000000001,-4.588107162998782,17.748230011103427
200,-0.24,6.800000000000001,-4.576293565727635,17.828787003294217
200,-0.24,7.0,-4.562502462501962,17.909334996957732
200,-0.24,7.200000000000003,-4.546796772403303,17.98987373299175
200,-0.24,7.400000000000002,-4.529247060457417,18.070402952652096
200,-0.24,7.600000000000001,-4.509930800625754,18.150922397555874
200,-0.24,7.800000000000001,-4.488931581530264,18.23143180968476
200,-0.24,8.0,-4.46633826828305,18.31193093138822
200,-0.24,8.200000000000003,-4.442244134427636,18.39241950538676
200,-0.24,8.400000000000002,-4.416745978285109,18.47289727477514
200,-0.24,8.600000000000001,-4.389943237914019,18.553363983025616
200,-0.24,8.8,-4.361937118433719,18.633819373991116
200,-0.24,9.0,-4.332829744642357,18.714263191908444
200,-0.24,9.200000000000003,-4.302723350717115,18.794695181401465
200,-0.24,9.400000000000002,-4.2717195173660025,18.87511508748428
200,-0.24,9.600000000000001,-4.239918465170633,18.955522655564373
200,-0.24,9.8,-4.207418411088852,19.035917631445766
200,-0.24,10.0,-4.174314993248445,19.116299761332176
200,-0.24,10.200000000000003,-4.140700767330204,19.196668791830117
200,-0.24,10.400000000000002,-4.106664776075795,19.277024469952025
200,-0.24,10.600000000000001,-4.072292191818979,19.357366543119355
200,-0.24,10.8,-4.037664030472203,19.43769475916569
200,-0.24,11.0,-4.002856934135632,19.51800886633981
200,-0.24,11.200000000000003,-3.9679430184513493,19.598308613308745
200,-0.24,11.400000000000002,-3.932989780008011,19.67859374916088
200,-0.24,11.600000000000001,-3.8980600585073484,19.75886402340894
200,-0.24,11.8,-3.8632120480209315,19.839119185993052
200,-0.24,12.0,-3.828499351474683,19.919358987283793
200,-0.235,-12.0,-2.5208519572142136,10.413974486291156
200,-0.235,-11.8,-2.533759043660688,10.495449782931559
200,-0.235,-11.6,-2.5469158485947547,10.576941515599872
200,-0.235,-11.4,-2.5603285925580908,10.65844940291741
200,-0.235,-11.2,-2.574003651730478,10.739973163530335
200,-0.235,-11.0,-2.587947559236712,10.821512516113435
200,-0.235,-10.8,-2.602167006081075,10.903067179373918
200,-0.235,-10.6,-2.6166688416527393,10.984636872055212
200,-0.235,-10.4,-2.6314600737392024,11.06622131294074
200,-0.235,-10.2,-2.6465478679778935,11.14782022085772
200,-0.235,-10.0,-2.6619395466685214,11.229433314680952
200,-0.235,-9.8,-2.6776425868604203,11.311060313336618
200,-0.235,-9.6,-2.6936646176201213,11.392700935806063
200,-0.235,-9.4,-2.710013416374458,11.474354901129583
200,-0.235,-9.2,-2.7266969042138016,11.556021928410228
200,-0.235,-9.0,-2.743723140028355,11.637701736817581
