Time, Position, Speed, Acceleration, Torque, Drag, RPM, Power, Available Power, Charge, Voltage, Current, Motor Torque
0.07,0.020,0.559,7.869,558.230,0.073,89.825,1444.0,68397.301,50.000,113.996,12.7,153.51
0.07,0.020,0.567,7.869,558.230,0.075,91.090,1464.4,68392.785,50.000,113.988,12.8,153.51
0.07,0.021,0.574,7.869,558.230,0.077,92.355,1484.7,68388.267,50.000,113.980,13.0,153.51
0.08,0.021,0.582,7.869,558.230,0.079,93.620,1505.0,68383.750,50.000,113.973,13.2,153.51
0.08,0.022,0.590,7.869,558.230,0.081,94.885,1525.4,68379.231,50.000,113.965,13.4,153.51
0.08,0.022,0.598,7.869,558.230,0.083,96.150,1545.7,68374.712,50.000,113.958,13.6,153.51
0.08,0.023,0.606,7.869,558.230,0.085,97.415,1566.0,68370.192,50.000,113.950,13.7,153.51
0.08,0.024,0.614,7.869,558.230,0.088,98.681,1586.4,68365.672,50.000,113.943,13.9,153.51
0.08,0.024,0.622,7.869,558.230,0.090,99.946,1606.7,68361.151,50.000,113.935,14.1,153.51
0.08,0.025,0.630,7.869,558.230,0.092,101.211,1627.1,68356.630,50.000,113.928,14.3,153.51
0.08,0.025,0.637,7.869,558.230,0.094,102.476,1647.4,68352.108,50.000,113.920,14.5,153.51
0.08,0.026,0.645,7.869,558.230,0.097,103.741,1667.7,68347.585,50.000,113.913,14.6,153.51
0.08,0.027,0.653,7.869,558.230,0.099,105.006,1688.1,68343.062,50.000,113.905,14.8,153.51
0.09,0.027,0.661,7.869,558.230,0.102,106.271,1708.4,68338.538,50.000,113.898,15.0,153.51
0.09,0.028,0.669,7.869,558.230,0.104,107.536,1728.7,68334.013,50.000,113.890,15.2,153.51
0.09,0.029,0.677,7.869,558.230,0.106,108.801,1749.1,68329.488,50.000,113.882,15.4,153.51
0.09,0.029,0.685,7.869,558.230,0.109,110.066,1769.4,68324.963,50.000,113.875,15.5,153.51
0.09,0.030,0.693,7.869,558.230,0.111,111.332,1789.8,68320.436,50.000,113.867,15.7,153.51
0.09,0.031,0.700,7.869,558.230,0.114,112.597,1810.1,68315.910,50.000,113.860,15.9,153.51
0.09,0.032,0.708,7.869,558.230,0.117,113.862,1830.4,68311.382,50.000,113.852,16.1,153.51
0.09,0.032,0.716,7.869,558.230,0.119,115.127,1850.8,68306.854,50.000,113.845,16.3,153.51
0.09,0.033,0.724,7.869,558.230,0.122,116.392,1871.1,68302.326,50.000,113.837,16.4,153.51
0.09,0.034,0.732,7.869,558.230,0.125,117.657,1891.4,68297.796,50.000,113.830,16.6,153.51
0.10,0.034,0.740,7.869,558.230,0.127,118.922,1911.8,68293.266,50.000,113.822,16.8,153.51
0.10,0.035,0.748,7.869,558.230,0.130,120.187,1932.1,68288.736,50.000,113.815,17.0,153.51
0.10,0.036,0.755,7.869,558.230,0.133,121.452,1952.5,68284.205,50.000,113.807,17.2,153.51
0.10,0.037,0.763,7.869,558.230,0.135,122.717,1972.8,68279.673,50.000,113.799,17.3,153.51
0.10,0.037,0.771,7.869,558.230,0.138,123.982,1993.1,68275.141,50.000,113.792,17.5,153.51
0.10,0.038,0.779,7.869,558.230,0.141,125.248,2013.5,68270.608,50.000,113.784,17.7,153.51
0.10,0.039,0.787,7.869,558.230,0.144,126.513,2033.8,68266.075,50.000,113.777,17.9,153.51
0.10,0.040,0.795,7.869,558.230,0.147,127.778,2054.1,68261.541,50.000,113.769,18.1,153.51
0.10,0.041,0.803,7.869,558.230,0.150,129.043,2074.5,68257.006,50.000,113.762,18.2,153.51
0.10,0.041,0.811,7.869,558.230,0.153,130.308,2094.8,68252.471,50.000,113.754,18.4,153.51
0.11,0.042,0.818,7.869,558.230,0.156,131.573,2115.2,68247.935,50.000,113.747,18.6,153.51
0.11,0.043,0.826,7.869,558.230,0.159,132.838,2135.5,68243.399,50.000,113.739,18.8,153.51
0.11,0.044,0.834,7.869,558.230,0.162,134.103,2155.8,68238.861,50.000,113.731,19.0,153.51
0.11,0.045,0.842,7.869,558.230,0.165,135.368,2176.2,68234.324,50.000,113.724,19.1,153.51
0.11,0.045,0.850,7.869,558.230,0.168,136.633,2196.5,68229.786,50.000,113.716,19.3,153.51
0.11,0.046,0.858,7.869,558.230,0.171,137.898,2216.8,68225.247,50.000,113.709,19.5,153.51
0.11,0.047,0.866,7.869,558.230,0.174,139.163,2237.2,68220.707,50.000,113.701,19.7,153.51
0.11,0.048,0.874,7.869,558.230,0.177,140.428,2257.5,68216.167,50.000,113.694,19.9,153.51
0.11,0.049,0.881,7.869,558.230,0.181,141.693,2277.8,68211.627,50.000,113.686,20.0,153.51
0.11,0.050,0.889,7.869,558.230,0.184,142.959,2298.2,68207.085,50.000,113.678,20.2,153.51
0.12,0.051,0.897,7.869,558.230,0.187,144.224,2318.5,68202.543,50.000,113.671,20.4,153.51
0.12,0.052,0.905,7.869,558.230,0.190,145.489,2338.9,68198.001,50.000,113.663,20.6,153.51
0.12,0.052,0.913,7.869,558.230,0.194,146.754,2359.2,68193.458,50.000,113.656,20.8,153.51
0.12,0.053,0.921,7.869,558.230,0.197,148.019,2379.5,68188.914,50.000,113.648,20.9,153.51
0.12,0.054,0.929,7.869,558.230,0.200,149.284,2399.9,68184.370,50.000,113.641,21.1,153.51
0.12,0.055,0.936,7.869,558.230,0.204,150.549,2420.2,68179.825,50.000,113.633,21.3,153.51
0.12,0.056,0.944,7.869,558.230,0.207,151.814,2440.5,68175.279,50.000,113.625,21.5,153.51
0.12,0.057,0.952,7.869,558.230,0.211,153.079,2460.9,68170.733,50.000,113.618,21.7,153.51
0.12,0.058,0.960,7.869,558.230,0.214,154.344,2481.2,68166.187,50.000,113.610,21.8,153.51
0.12,0.059,0.968,7.869,558.230,0.218,155.609,2501.6,68161.639,50.000,113.603,22.0,153.51
0.13,0.060,0.976,7.869,558.230,0.221,156.874,2521.9,68157.091,50.000,113.595,22.2,153.51
0.13,0.061,0.984,7.869,558.230,0.225,158.139,2542.2,68152.543,50.000,113.588,22.4,153.51
0.13,0.062,0.992,7.869,558.230,0.229,159.404,2562.6,68147.994,50.000,113.580,22.6,153.51
